"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 07 17:04:39 CST 2023","Wed Jun 07 17:04:40 CST 2023","1515","scripts_all","test_login","TestLogin","","","test_login[18511415126-123456]",""
"broken","Wed Jun 07 17:04:40 CST 2023","Wed Jun 07 17:04:40 CST 2023","0","scripts_all","test_login","TestLogin","","","test_login[19967441179-88888888]",""
